feature,lang,diff,stderr,method
f0,English,0.930992562869164,0.00205193508837878,common language effect size
-|Δf0|,English,0.587807814080685,0.00454724340571826,common language effect size
Spectral centroid,English,0.520685034252771,0.00530512799297719,common language effect size
f0,Marathi,0.992005945838282,0.00102045023396625,common language effect size
-|Δf0|,Marathi,0.643261321805587,0.00806820477251361,common language effect size
Spectral centroid,Marathi,0.501618007419369,0.009263954833981,common language effect size
f0,Farsi,0.978310382242325,0.00146370140847657,common language effect size
-|Δf0|,Farsi,0.631193076838668,0.00561871927915298,common language effect size
Spectral centroid,Farsi,0.544923467451914,0.00665840970844383,common language effect size
f0,Japanese,0.997148227447936,0.000216376867110857,common language effect size
-|Δf0|,Japanese,0.507902520224078,0.00449051822834595,common language effect size
Spectral centroid,Japanese,0.515890228086932,0.00540213778866832,common language effect size
f0,Yoruba,0.99464239523007,0.000837447752917357,common language effect size
-|Δf0|,Yoruba,0.602418220926317,0.00748001469936874,common language effect size
Spectral centroid,Yoruba,0.484722687702954,0.00950527803235751,common language effect size
