feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
f0,English,0.926479713934211,0.00374701866968276,0.91913385490381,0.933825572964612,common language effect size,1
-|Δf0|,English,0.764756812781233,0.00659957437678648,0.751818566010047,0.777695059552418,common language effect size,1
Spectral centroid,English,0.424616342698261,0.00925525609901952,0.406470877895035,0.442761807501486,common language effect size,1
f0,Macedonian,0.961620390769852,0.00210592044722368,0.957491766538941,0.965749015000763,common language effect size,2
-|Δf0|,Macedonian,0.670899933662796,0.0071589190000275,0.656865104492072,0.68493476283352,common language effect size,2
Spectral centroid,Macedonian,0.582306055582779,0.00981139159628687,0.563066836418895,0.601545274746663,common language effect size,2
f0,Italian,0.479617193284374,0.00781551581344473,0.464295681332323,0.494938705236424,common language effect size,3
-|Δf0|,Italian,0.560529219111654,0.00783646700619281,0.54516616376921,0.575892274454097,common language effect size,3
Spectral centroid,Italian,0.488694123059757,0.0091755669306893,0.470704652064837,0.506683594054678,common language effect size,3
f0,Portuguese,0.993235753405934,0.000712305091418708,0.991839130270917,0.994632376540951,common language effect size,4
-|Δf0|,Portuguese,0.697011473470894,0.00723536346666473,0.682826630863833,0.711196316077956,common language effect size,4
Spectral centroid,Portuguese,0.648914721641994,0.00881720556431471,0.631627289425066,0.666202153858923,common language effect size,4
f0,English,0.918328782305958,0.00391145748088721,0.910659707136527,0.925997857475389,common language effect size,5
-|Δf0|,English,0.817703419143017,0.00559291549318235,0.806738956901347,0.828667881384687,common language effect size,5
Spectral centroid,English,0.478801917363356,0.00933694084519066,0.460495331582033,0.497108503144678,common language effect size,5
f0,Ronga,0.979165856283987,0.00144964915144369,0.976323930480101,0.982007782087874,common language effect size,6
-|Δf0|,Ronga,0.59738517179398,0.00785994094403835,0.581976125282325,0.612794218305634,common language effect size,6
Spectral centroid,Ronga,0.496025974025974,0.00913226768659158,0.478121637634347,0.513930310417601,common language effect size,6
f0,Swedish,0.970863836686608,0.00230154267384955,0.966351509618004,0.975376163755211,common language effect size,7
-|Δf0|,Swedish,0.68008627275367,0.00810649357344368,0.664192834658058,0.695979710849283,common language effect size,7
Spectral centroid,Swedish,0.514369262451104,0.00929102434497222,0.496152913082698,0.53258561181951,common language effect size,7
f0,Hindi,0.99498407980322,0.000653238469293688,0.993703297740573,0.996264861865867,common language effect size,8
-|Δf0|,Hindi,0.736114423852815,0.00717572909998488,0.722046640480017,0.750182207225613,common language effect size,8
Spectral centroid,Hindi,0.527638195969864,0.00930706889804113,0.509390290312684,0.545886101627045,common language effect size,8
f0,Bulgarian,0.841053106704217,0.00595882286046849,0.8293699972422,0.852736216166235,common language effect size,9
-|Δf0|,Bulgarian,0.692885671363112,0.00765247640766321,0.677882173169532,0.707889169556691,common language effect size,9
Spectral centroid,Bulgarian,0.437580310294628,0.0093119274265997,0.4193223727848,0.455838247804456,common language effect size,9
f0,Greek,0.894501988225462,0.00496947604878488,0.884758902903219,0.904245073547704,common language effect size,10
-|Δf0|,Greek,0.679281474857643,0.00759521512565443,0.664391240569293,0.694171709145994,common language effect size,10
Spectral centroid,Greek,0.381762343550555,0.0088825643548106,0.364347498978829,0.399177188122282,common language effect size,10
f0,Mandarin,0.912745219224643,0.00345075371365011,0.905980456381807,0.919509982067478,common language effect size,11
-|Δf0|,Mandarin,0.740749392604263,0.0065511156709204,0.7279061508717,0.753592634336826,common language effect size,11
Spectral centroid,Mandarin,0.523359757125991,0.00922965381873693,0.505263805016217,0.541455709235764,common language effect size,11
f0,German,0.951585913813689,0.00319127204037988,0.945328586653352,0.957843240974026,common language effect size,12
-|Δf0|,German,0.620934339030345,0.00881714552343715,0.603646066635743,0.638222611424948,common language effect size,12
Spectral centroid,German,0.466645492369768,0.00950640327241402,0.448005999597851,0.485284985141685,common language effect size,12
f0,Yoruba,0.664877447624264,0.0070731961559705,0.651011232458214,0.678743662790314,common language effect size,13
-|Δf0|,Yoruba,0.5467248293265,0.00786418974077856,0.531307263583908,0.562142395069092,common language effect size,13
Spectral centroid,Yoruba,0.560694051203542,0.00919044932841363,0.542674893812291,0.578713208594792,common language effect size,13
f0,Japanese,0.918470820310056,0.00359843668291669,0.91141611098861,0.925525529631502,common language effect size,14
