time,voice_1
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0
0.21,0
0.215,0
0.22,0
0.225,0
0.23,0
0.235,0
0.24,0
0.245,0
0.25,0
0.255,0
0.26,0
0.265,0
0.27,0
0.275,0
0.28,0
0.285,0
0.29,0
0.295,0
0.3,0
0.305,0
0.31,0
0.315,0
0.32,0
0.325,0
0.33,0
0.335,0
0.34,0
0.345,0
0.35,0
0.355,0
0.36,0
0.365,0
0.37,0
0.375,0
0.38,0
0.385,0
0.39,0
0.395,0
0.4,0
0.405,0
0.41,0
0.415,0
0.42,0
0.425,0
0.43,0
0.435,0
0.44,0
0.445,0
0.45,0
0.455,0
0.46,0
0.465,0
0.47,0
0.475,0
0.48,0
0.485,0
0.49,0
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
1.005,0
1.01,0
1.015,0
1.02,0
1.025,0
1.03,0
1.035,0
1.04,0
1.045,0
1.05,0
1.055,0
1.06,0
1.065,0
1.07,0
1.075,0
1.08,0
1.085,0
1.09,0
1.095,0
1.1,0
1.105,0
1.11,0
1.115,0
1.12,0
1.125,0
1.13,0
1.135,0
1.14,0
1.145,0
1.15,0
1.155,0
1.16,0
1.165,0
1.17,0
1.175,0
1.18,0
1.185,0
1.19,0
1.195,0
1.2,0
1.205,0
1.21,0
1.215,0
1.22,0
1.225,0
1.23,0
1.235,0
1.24,0
1.245,0
1.25,0
1.255,0
1.26,0
1.265,0
1.27,100.870444752514
1.275,102.633629069049
1.28,102.633629069049
1.285,103.228179633826
1.29,102.042502863544
1.295,100.289473741404
1.3,100.870444752514
1.305,101.454781294453
1.31,101.454781294453
1.315,100.870444752514
1.32,100.870444752514
1.325,100.870444752514
1.33,100.870444752514
1.335,100.870444752514
1.34,100.870444752514
1.345,100.870444752514
1.35,100.289473741404
1.355,100.289473741404
1.36,100.289473741404
1.365,100.289473741404
1.37,100.289473741404
1.375,100.289473741404
1.38,100.289473741404
1.385,100.289473741404
1.39,100.289473741404
1.395,100.289473741404
1.4,99.7118488770922
1.405,99.7118488770922
1.41,99.7118488770922
1.415,99.1375508871913
1.42,99.1375508871913
1.425,99.1375508871913
1.43,99.1375508871913
1.435,98.5665606103148
1.44,99.1375508871913
1.445,99.1375508871913
1.45,99.1375508871913
1.455,98.5665606103148
1.46,98.5665606103148
1.465,99.1375508871913
1.47,98.5665606103148
1.475,99.1375508871913
1.48,98.5665606103148
1.485,97.9988589954373
1.49,97.9988589954373
1.495,97.4344271012597
1.5,97.4344271012597
1.505,97.4344271012597
1.51,97.4344271012597
1.515,97.4344271012597
1.52,97.4344271012597
1.525,97.4344271012597
1.53,97.4344271012597
1.535,98.5665606103148
1.54,98.5665606103148
1.545,0
1.55,0
1.555,0
1.56,0
1.565,0
1.57,0
1.575,0
1.58,0
1.585,0
1.59,0
1.595,0
1.6,0
1.605,0
1.61,0
1.615,0
1.62,0
1.625,0
1.63,0
1.635,0
1.64,0
1.645,0
1.65,0
1.655,0
1.66,0
1.665,0
1.67,124.905487197797
1.675,125.629057324185
1.68,126.356819049674
1.685,126.356819049674
1.69,126.356819049674
1.695,127.08879665595
1.7,126.356819049674
1.705,127.08879665595
1.71,130.059356462986
1.715,130.812782650299
1.72,134.645889763512
1.725,133.870386503765
1.73,135.425885467941
1.735,135.425885467941
1.74,135.425885467941
1.745,133.099349814122
1.75,134.645889763512
1.755,136.210399641518
1.76,136.999458459471
1.765,136.999458459471
1.77,135.425885467941
1.775,132.332753969033
1.78,135.425885467941
1.785,133.870386503765
1.79,133.099349814122
1.795,131.570573391114
1.8,127.08879665595
1.805,124.186084528674
1.81,120.650747766409
1.815,120.650747766409
1.82,122.052641927463
1.825,126.356819049674
1.83,125.629057324185
1.835,125.629057324185
1.84,127.08879665595
1.845,127.08879665595
